qid,query,docno,text,biased_rank,debiased_rank,source,from,selected_in_turn,semantic_sim,label
395948,information about who howard gardner and what does he do,msmarco_passage_09_593796930,In Gardner's early research he discussed seven intelligences. Gardner later introduced an eighth intelligence: the naturalist intelligence. Howard Gardner - http://www.pz.harvard.edu/PIs/HG.htm. Verbal - Linguistic. Logical - Mathematical.,6,3.0,top from debiased,debiased,5,,
395948,information about who howard gardner and what does he do,msmarco_passage_12_633563963,"Children are able to explore many cognitive concepts through their play and creative explorations. About. Howard Earl Gardner (born July 11, 1943) is an American developmental psychologist He is best known for his theory of multiple intelligences.",7,5.0,top from debiased,debiased,6,,
395948,information about who howard gardner and what does he do,msmarco_passage_40_478478913,"1. Howard Gardner’s Multiple Intelligences. In a class of intelligent people, it’s important to remind them that there’s more to “intelligence” than doing well in class. Howard Gardner offers a model for exploring this idea, known as the multiple intelligences: Interpersonal. Intrapersonal.",15,6.0,top from debiased,debiased,7,,
395948,information about who howard gardner and what does he do,msmarco_passage_40_31220962,"Sources: Lane, Carla. (n.d.) ‘Gardner’s multiple intelligences’, the distance learning technology resource guide, https://www.tecweb.org/styles/gardner.html. Smith, Mark K. (2002, 2008) ‘ Howard Gardner and multiple intelligences ’, The Encyclopedia of Informal Education.",5,8.0,top from debiased,debiased,8,,
395948,information about who howard gardner and what does he do,msmarco_passage_51_445271182,"He speaks of how everyone who is in an organization likely knows what they do but very few can describe why they do it. The role of a leader is not about linking the direction of the organization to what is accomplished, it’s about tapping into the moral purpose of why the organization does what it does.",89,,easy negative,debiased,9,0.11460117623209953,
421946,is pulse ox screening for children law,msmarco_passage_38_643493231,"To improve systems for follow-up, reporting, and connection to services for infants identified by newborn screening. Newborn screening in Minnesota consists of three tests: blood spot screening, hearing screening, and pulse oximetry. Pulse oximetry, or pulse ox, is a painless, non-invasive test that measures how much oxygen is in the blood.",1,1.0,top from biased,biased,1,,
421946,is pulse ox screening for children law,msmarco_passage_38_643300933,References & Sources. Visit Children's National Health System for more information on pulse ox congenital heart disease screening. Visit the Centers for Disease Control and Prevention website for a fact sheet on CCHD. Visit the Centers for Disease Control and Prevention website for more resources on CCHD.,2,17.0,top from biased,biased,2,,
421946,is pulse ox screening for children law,msmarco_passage_48_124892275,"Babies are dying every day from undetected heart defects, but we have the knowledge and power to prevent CCHD from taking their lives so soon. Knowing that New York State has mandated a law requiring the 'pulse ox' test to be added to newborn screening means saving lives and spreading awareness. It means hope.",3,16.0,top from biased,biased,3,,
421946,is pulse ox screening for children law,msmarco_passage_04_389002915,"There are three parts to newborn screening: the blood test (or heel stick. When the baby's heel is pricked to collect a sample of blood for newborn screening. ); the hearing screen; and pulse oximetry. Pulse oximetry, or pulse ox, is a painless, non-invasive test that measures how much oxygen is in the blood.",4,6.0,top from biased,biased,4,,
421946,is pulse ox screening for children law,msmarco_passage_12_735897565,"Pulse oximetry, or pulse ox, is a painless, non-invasive test that measures how much oxygen is in the blood. Infants with heart problems may have low blood oxygen levels, and therefore, the pulse ox test can help identify babies that may have Critical Congenital Heart Disease (CCHD).",8,2.0,top from debiased,debiased,5,,
421946,is pulse ox screening for children law,msmarco_passage_07_822264197,Babies are screened for critical CHDs with a simple test called pulse oximetry (also called pulse ox). This test checks the amount of oxygen in your baby’s blood. Low levels of oxygen can be a sign of a heart defect. Pulse oximetry uses a pulse oximeter machine with sensors that are placed on your baby’s skin.,5,3.0,top from debiased,debiased,6,,
421946,is pulse ox screening for children law,msmarco_passage_38_643515607,"The pulse ox test only takes a couple of minutes and is performed after the baby is 24 hours old and before he or she leaves the newborn nursery. to measure the amount of oxygen in the baby’s blood, and a hearing screening. These tests should be performed when babies are 24 to 48 hours old.",7,4.0,top from debiased,debiased,7,,
421946,is pulse ox screening for children law,msmarco_passage_41_167658866,TAPVR is a critical congenital heart defect (critical CHD) that also can be detected with newborn pulse oximetry screening using pulse oximetry (also known as pulse ox). Pulse oximetry is a simple bedside test to determine the amount of oxygen in a baby’s blood. Low levels of oxygen in the blood can be a sign of a CCHD.,9,5.0,top from debiased,debiased,8,,
421946,is pulse ox screening for children law,msmarco_passage_34_498004206,"The Garmin Venu is definitely one of the more casual watches to be included in this list. Aside from being quite affordable, the Venu’s beautiful AMOLED touch-screen display makes it a good choice for a casual watch. Its Pulse Ox and cycling features also make it a highly competitive sports watch.",89,,easy negative,debiased,9,0.14726827293634415,
493490,schizandra berry benefits,msmarco_passage_55_560686346,"One of the many schizandra berry benefits is to reduce stress and feelings of fatigue. A study suggests the fruit does so by reducing cortisol levels [1]. These adaptogenic benefits make schisandra effective for many types of environmental stressors. Beyond the stress relieving schisandra benefits, there are anti-inflammatory effects [2], memory and cognition enhancement [3], and can reduce symptoms of anxiety [4].",1,1.0,top from biased,biased,1,,
493490,schizandra berry benefits,msmarco_passage_02_234807989,"Schizandra Berry Benefits and Uses. While Schizandra chinensis has not undergone extensive human trials, it has shown extremely promising results in animal studies, and its beneficial compounds are well-known. The chief components of the berries are lignans, which make up about 2% of the fruit by weight. The berries also contain triterpenoids, organic acids such as citric and malic acid, melatonin, and vitamins C and E, among other compounds.",2,2.0,top from biased,biased,2,,
493490,schizandra berry benefits,msmarco_passage_09_749452951,Schizandra Berry Benefits for Sexual Libido. One of the most famous side-effects of drinking schizandra berry tea on a regular basis is its positive effects on the sexual glands and organs. It is one of the top herbal aphrodisiacs for both men and women alike.,3,6.0,top from biased,biased,3,,
493490,schizandra berry benefits,msmarco_passage_06_803493824,"By Herbs List | Published: 06/13/2011. Schizandra Benefits Schizandra (sometimes spelled Schisandra) berries are a powerful adaptogen. This means that they will help you adapt to your environment allowing you to better handle stress, whether mental or physical. An adaptogen is used as an overall wellness tonic.",4,5.0,top from biased,biased,4,,
493490,schizandra berry benefits,msmarco_passage_09_749667729,"Schizandra Benefits. Schizandra has been used to increase the body’s resistance to stress, increase stamina, stimulate the immune system, and decrease fatigue. Active ingredients including lignans, vitamins and phytonutrients in Schisandra chinensis provide a normalizing effect on the body.",8,3.0,top from debiased,debiased,5,,
493490,schizandra berry benefits,msmarco_passage_39_306373753,"Both men and women use the Schizandra berry as an aphrodisiac, to improve sexual experiences. In men particularly, it is believed to increase sexual stamina and endurance. 6. Mild sedative. For people suffering from insomnia, stress, dizziness and motion sickness, the Schizandra berry can soothe and induce sleep.",10,4.0,top from debiased,debiased,6,,
493490,schizandra berry benefits,msmarco_passage_06_803466276,"It is especially popular with athletes as it boosts nitric oxide levels in the body. It fights fatigue as well, making it even more beneficial. Schizandra increases energy at the cellular level. The Health Sciences Institute states that schizandra berry can raise the body’s enzyme, glutathione.",5,7.0,top from debiased,debiased,7,,
493490,schizandra berry benefits,msmarco_passage_56_327819849,Schizandra Berry Extract. Schizandra is an adaptogenic botanical used medicinally to help fight off the physical and mental effects of stress. Schizandra is also used to support liver health and neutralize the effects of toxin exposure.,15,8.0,top from debiased,debiased,8,,
493490,schizandra berry benefits,msmarco_passage_61_777287256,"Grow Your Own Tulsi for Tulsi Tea. We always encourage growing your own superfoods and super herbs, like gotu kola, goji berries, moringa, schizandra, golden berry, aloe and many others as well as the sacred holy basil plant. There is nothing quite like making tea from freshly picked tulsi leaves.",87,,easy negative,debiased,9,0.38495328426361086,
505390,supartz injections what does it made of,msmarco_passage_38_122727514,"What is Supartz? Supartz is one of many types of injections that can be injected into the knee joint with the hope of relieving pain and discomfort. You may know of this type of injection as a ‘gel injection’, ‘gel shot’, ‘ hyaluronic acid ,’ or one of the other brand names such as ‘Euflexxa.’. It’s made up of a fluid called Sodium Hyaluronate, which is similar to the substance called hyaluronan, or hyaluronate, that your body produces naturally.",1,1.0,top from biased,biased,1,,
505390,supartz injections what does it made of,msmarco_passage_66_598889,"Updated on February 14, 2021. Supartz injection is a therapy that is used to treat symptoms of knee osteoarthritis. 1 ﻿﻿ The Supartz solution is injected directly into the knee joint to restore the cushioning and lubricating properties of the synovial fluid (joint fluid). Supartz, a solution of sodium hyaluronate, is one of the hyaluronates used in viscosupplementation, which is another name for these injections.",2,2.0,top from biased,biased,2,,
505390,supartz injections what does it made of,msmarco_passage_66_121762269,"David Ozeri, MD. Updated on February 14, 2021. Supartz injection is a therapy that is used to treat symptoms of knee osteoarthritis. 1 ﻿﻿ The Supartz solution is injected directly into the knee joint to restore the cushioning and lubricating properties of the synovial fluid (joint fluid). Supartz, a solution of sodium hyaluronate, is one of the hyaluronates used in viscosupplementation, which is another name for these injections.",3,3.0,top from biased,biased,3,,
505390,supartz injections what does it made of,msmarco_passage_38_122732738,"The science behind Supartz. Sodium hyaluronate, the fluid used in Supartz injections, is present naturally in healthy joints as a shock absorber and lubricant. When your joints don’t produce enough hyaluronate, it can cause stiffness and pain. Supartz injections put the fluid back into your knee joint, so the parts of the joint should slide past each other more easily.",4,4.0,top from biased,biased,4,,
505390,supartz injections what does it made of,msmarco_passage_08_670354349,"Supartz has recently developed a 3-injection regimen that is now available. This is also very effective in relieving pain in knee, but cannot be expected to last as long as the 5-injection regimen. Supartz Injection Technique For The Knee Joint. Supartz (Sodium Hyaluronate) is injected into the knee joint as a series of five injections.",5,5.0,top from debiased,debiased,5,,
505390,supartz injections what does it made of,msmarco_passage_08_670355264,"Supartz (Sodium Hyaluronate) Supartz- . is a solution of hyaluronate, a natural substance that acts like ""oil"" to cushion
and lubricate your knee joint. Supartz is injected directly into the knee. Just a single course of treatment
(five injections given weekly) can provide long-lasting pain relief. SUPARTZ has been in use since 1987 and approximately 143 million injections given.",7,6.0,top from debiased,debiased,6,,
505390,supartz injections what does it made of,msmarco_passage_66_80591961,"Hyaluronic Injections. Viscosupplementation, sometimes called gel injections, refers to injecting hyaluronic acid into the knee to decrease pain and improve joint movement. Brand names for hyaluronic acid injections include Synvisc-One, Orthovisc, Euflexxa, and Supartz.",13,7.0,top from debiased,debiased,7,,
505390,supartz injections what does it made of,msmarco_passage_45_608311322,Supartz FX (Sodium Hyaluronate (Injection)) Sodium hyaluronate is similar to the fluid that surrounds the joints in your body. This fluid acts as a lubricant and shock absorber for the joints.,8,8.0,top from debiased,debiased,8,,
505390,supartz injections what does it made of,msmarco_passage_48_67045065,"What is Orthovisc? Orthovisc discount prices start at just $1,401.30! Commonly Used Brand Name (s) Durolane, Euflexxa, Gel-One, Hyalgan, Hyalgan L/L, Monovisc, Orthovisc, Supartz, Supartz FX.",78,,easy negative,debiased,9,0.3579208731651306,
508292,symptoms of neuroma pain,msmarco_passage_38_118466941,Symptoms. The symptoms of a neuroma include the following: Pain in the forefoot and between the toes. Tingling and numbness in the ball of the foot. Swelling between the toes. Pain in the ball of the foot when weight is placed on it.,1,1.0,top from biased,biased,1,,
508292,symptoms of neuroma pain,msmarco_passage_22_668222685,"A neuroma is sometimes described as a tumor, but is typically not a cancer. The symptoms of a neuroma being with pain or numbness. Additional symptoms include burning and tingling in the toes, feeling like there is a thickening or a lump in the ball of the foot and many of these symptoms are elicited when walking or wearing tight shoes.",2,2.0,top from biased,biased,2,,
508292,symptoms of neuroma pain,msmarco_passage_61_356638212,"Morton’s neuroma symptoms. Symptoms typically include foot pain, often with pins and needles. Pain is located on one side of your middle toe and the adjacent side of the next toe. Weight-bearing, especially pushing up on your forefoot will make symptoms worse.",3,3.0,top from biased,biased,3,,
508292,symptoms of neuroma pain,msmarco_passage_14_475507120,"Symptoms. Pain is the predominant symptom of Morton’s neuroma. The pain is felt between the toes or on the ball of the foot, especially while walking. Stopping activity and resting will typically provide relief from the pain. Many find that taking off their shoes and massaging the painful area can be helpful.",4,5.0,top from biased,biased,4,,
508292,symptoms of neuroma pain,msmarco_passage_04_27012834,"Neuromas. A neuroma is a painful swelling of a nerve, usually in the ball or heel of the foot. Symptoms include sporadic pain; burning, tingling or numbness of one or more toes; and a popping sensation when walking. Pain is often soothed by taking weight off the foot, removing your shoe, and massaging the area.",5,4.0,top from debiased,debiased,5,,
508292,symptoms of neuroma pain,msmarco_passage_66_117898684,"Abnormal Pain Type: Allodynia. Specific symptoms depend on the region of the body where the neuroma forms. In Morton's neuroma, which is most often between the third and fourth toes, symptoms include: 1 ﻿. Burning pain in the ball of the foot that may radiate into the toes.",7,6.0,top from debiased,debiased,6,,
508292,symptoms of neuroma pain,msmarco_passage_09_654435656,"Mortons Neuroma. Morton’s neuroma or Morton’s syndrome occurs when a nerve becomes trapped between the third and fourth toes. Symptoms include: Pain, numbness, and a tingling sensation over the top of the forefoot. Pain is made worse by weight-bearing, particularly up onto the toes.",17,7.0,top from debiased,debiased,7,,
508292,symptoms of neuroma pain,msmarco_passage_16_868992583,"For general mild cases, you may stretching before you walk in concrete or just give a rest for your foot nerve as walking on concrete may injure your lower back. Neuroma. Neuroma or mostly known as Morton’s Neuroma is a pain you feel in the ball of your foot. The symptoms of neuroma are tingling, numbness, or pain between toes.",25,8.0,top from debiased,debiased,8,,
508292,symptoms of neuroma pain,msmarco_passage_33_825927804,"Call for a Morton’s Neuroma Consultation. Selecting a state-of-the-art facility to treat your Morton’s Neuroma symptoms and pain can help guarantee your success. After a thorough evaluation in our clinic, we can determine which treatment options, or which combination of treatment options, will work best for your symptoms.",68,,easy negative,debiased,9,0.38775651454925536,
540006,was friedrich nietzsche an atheist,msmarco_passage_58_39424363,"Answered December 21, 2014. Originally Answered: How atheist was Friedrich Nietzsche? ""For example, I do not have any experience with genuine religious difficulties. I have never paid attention to how 'sinful' I might be. [...] — 'God', 'immortality of the soul', 'redemption', 'beyond', are simply ideas that I have not paid any attention to or devoted any time to, even as a child, — perhaps I was never childish enough for them?",1,3.0,top from biased,biased,1,,
540006,was friedrich nietzsche an atheist,msmarco_passage_58_39423436,"Answered November 5, 2014 · Author has 1.6K answers and 1.8M answer views. Originally Answered: How atheist was Friedrich Nietzsche? Friedrich Nietzsche called himself anti-Christian, not atheist. In many of his writings he compares Jesus to Dionysus, and proclaims himself to be a follower of Dionysus.",2,1.0,top from biased,biased,2,,
540006,was friedrich nietzsche an atheist,msmarco_passage_25_833258014,"The influential German philosopher Friedrich Nietzsche (1844-1990) had his views on religion and Christianity, and was arguably the most abrupt and abrasive atheistic thinkers of his time.",3,2.0,top from biased,biased,3,,
540006,was friedrich nietzsche an atheist,msmarco_passage_24_649418758,"Nietzsche was originally quite religious. His father was a Lutheran minister and Friedrich studied theology at the University of Bonn. 1 During his studies, however, he learned of the philosophy of Arthur Schopenhauer and became a staunch atheist. 2.",4,4.0,top from biased,biased,4,,
540006,was friedrich nietzsche an atheist,msmarco_passage_39_497540129,"Friedrich Nietzsche. German philosopher Friedrich Nietzsche is known for his writings on good and evil, the end of religion in modern society and the concept of a ""super-man."".",7,5.0,top from debiased,debiased,5,,
540006,was friedrich nietzsche an atheist,msmarco_passage_02_561362243,"Søren Kierkegaard (1813-1855)  [""the ultimate anti-Christianity Christian""] is often considered to be the  father of them all, but Friedrich Nietzsche [""the ultimate anti-Christ  philosopher""] is a crucial figure at the origins of the developing line of atheistic  existentialism.",13,6.0,top from debiased,debiased,6,,
540006,was friedrich nietzsche an atheist,msmarco_passage_36_36948169,He was considered virtuous and Pro-European because of his anti-rationalist and anti-democrat thinking. Contents [ show] 18 Quotes By Friedrich Nietzsche to Live By For a Better Life. 19 Inspirational Quotes About Classical Music. Friedrich’s Views on Christianity (God is Dead) 11 Friedrich Nietzsche Quotes About God.,12,7.0,top from debiased,debiased,7,,
540006,was friedrich nietzsche an atheist,msmarco_passage_40_158087024,"Existentialists have been both atheists (e.g., Friedrich Nietzsche and Jean-Paul Sartre) and Christians (e.g., Kierkegaard, the Protestant Rudolf Bultmann, and the Roman Catholic Gabriel Marcel ). It would be difficult to identify any doctrines that are common to all these thinkers.",5,8.0,top from debiased,debiased,8,,
540006,was friedrich nietzsche an atheist,msmarco_passage_36_40038424,"For that reason he wants woman, as the most dangerous plaything.”. – Friedrich Nietzsche. 35. “To make the individual uncomfortable, that is my task.”. – Friedrich Nietzsche. 36. “Whoever fights monsters should see to it that in the process he does not become a monster.",98,,easy negative,debiased,9,0.3823047935962677,
596569,what classes do i need to take to go to vet school,msmarco_passage_57_570209973,"To become a veterinarian, you will need to go through four years of veterinary school after college. Admission is competitive for the few vet schools in the united states. Students are required to take a lot of science classes, including anatomy, animal science, biology, chemistry, microbiology, physiology and zoology, plus social sciences and humanities.",1,1.0,top from biased,biased,1,,
596569,what classes do i need to take to go to vet school,msmarco_passage_12_270377801,What classes should i take in high school to become a vet? | Yahoo Answers. Keyla. Keyla. asked in Education & Reference Higher Education (University +) · 9 years ago.,2,7.0,top from biased,biased,2,,
596569,what classes do i need to take to go to vet school,msmarco_passage_66_170950934,"To become a vet, you need to go to university and take a veterinary science or medicine degree. The course normally takes 5 years. To be considered for a place at vet school, you will need to have a strong science background. It’s important that you enjoy and are good at subjects such as biology, chemistry and physics.",3,3.0,top from biased,biased,3,,
596569,what classes do i need to take to go to vet school,msmarco_passage_32_199421070,"To become a vet in North America, you must go to college for at least 2 or 3 years, and take several required classes, including many science classes. You then apply to veterinary school. If you are accepted, you are in veterinary school for 4 years, and then graduate with the degree Doctor of Veterinary Medicine.",4,2.0,top from biased,biased,4,,
596569,what classes do i need to take to go to vet school,msmarco_passage_03_507786841,Now I’m just going to list a few classes that I have found (or heard of) that help prepare you for veterinary school. This is not a complete list of classes that is required for vet school. Please contact your perspective schools to find out what classes are required for you to be accepted to veterinary school. Biology.,5,4.0,top from debiased,debiased,5,,
596569,what classes do i need to take to go to vet school,msmarco_passage_65_648878943,"Earn a bachelor’s degree. Veterinary school is a graduate program; to become eligible to apply to veterinary school students need to earn a bachelor's degree and take specific pre-requisites (classes that vet schools require). At UT, students can earn a bachelor's degree and take pre-requisite courses. They will need to choose a major, as pre-vet is not a major or a program at UT.",7,5.0,top from debiased,debiased,6,,
596569,what classes do i need to take to go to vet school,msmarco_passage_12_265819081,"5 years ago. For the best answers, search on this site https://shorturl.im/sM8Ht. You need to get a BS, which takes four years. You can major in anything as long as you take the Pre-Vet courses. Then you need to go to Vet school for four years to get your doctorate.",8,6.0,top from debiased,debiased,7,,
596569,what classes do i need to take to go to vet school,msmarco_passage_13_732299423,"We’ll cover everything you need to know, including: How long does it take to become a vet. How to decide whether becoming a veterinarian is right for you. What classes you should take in high school and college. How to pick a good undergraduate university and vet school. What vet school is like. So let’s get started!",10,8.0,top from debiased,debiased,8,,
596569,what classes do i need to take to go to vet school,msmarco_passage_30_560481215,"I do have it set up to class employees individually. What I need to figure out is how to take 1 employee who has class X for this payroll and then needs to have class Y for my next payroll, then will need to have class X for the next one.",93,,easy negative,debiased,9,0.19482780992984772,
629937,what does a popped blood vessel in hand feel like,msmarco_passage_35_98010201,"Doctors do this because not all drugs will agree with your body. READ Popped blood vessel in hand: Causes, Symptoms, Treatments. Some of the symptoms of side effects from drugs include fever, headaches, numbness, a burning and itchy sensation that makes your skin feels raw but no rashes.",1,3.0,top from biased,biased,1,,
629937,what does a popped blood vessel in hand feel like,msmarco_passage_09_791178425,Popped Blood Vessel In Hand Symptoms. The condition will show under the layer of transparent skin and is characterized by: Bright red or dark appearance in the outermost layer of the skin. A feeling of minor pain upon contact.,2,1.0,top from biased,biased,2,,
629937,what does a popped blood vessel in hand feel like,msmarco_passage_35_97813720,"Symptoms of popped blood vessel in hand: Bursting of blood vessels or popped blood vessel in hand and subsequent bleeding under the skin of your hands has the following symptoms: Swelling in the affected area of the skin. In some cases, an associated fracture in the bone may take place. Some pain (minor) may be felt upon touching the affected area.",3,2.0,top from biased,biased,3,,
629937,what does a popped blood vessel in hand feel like,msmarco_passage_09_484020537,Popped Blood Vessel in Hands. Popped blood vessel in a person’s hands happen when a clot forms in the blood vessel. This clot of blood causes an obstruction and hinders the blood’s rapid flow thereby causing arteries to bulge.,4,11.0,top from biased,biased,4,,
629937,what does a popped blood vessel in hand feel like,msmarco_passage_53_692894208,"That can cause a bright red splotch, or make the entire white of your eye turn blood red. But popped blood vessels aren’t actually serious—they just look bad, Dr. Holzman says. Other symptoms: Popped blood vessels don’t hurt, but your eye might feel slightly heavy from the extra blood.",5,4.0,top from debiased,debiased,5,,
629937,what does a popped blood vessel in hand feel like,msmarco_passage_60_676301869,"Treatment for Popped Blood Vessel in Hands. Generally, a popped blood vessel is insignificant and undamaging. Mostly it takes a week or two to heal on its own. However, if symptoms like pain, swelling, bleeding and bruise persists, a person can use any of the following home remedies:",10,5.0,top from debiased,debiased,6,,
629937,what does a popped blood vessel in hand feel like,msmarco_passage_35_97819308,"The appearance of patch or dot under the skin due to popped blood vessel in hand is because of the blood clots formed there. The clot also hampers the fast flow of blood through the vessels causing bulging to the blood vessels of the area. This, in turn, results in increased pressure causing further rupture of blood vessels and more blood oozing out under the skin (increase in pressure inside the arteries weakens their walls).",6,6.0,top from debiased,debiased,7,,
629937,what does a popped blood vessel in hand feel like,msmarco_passage_35_97818450,"You should also consult healthcare professionals if bleeding under your skin is not related to any recent injury. Usually, the bursting of blood vessels in hand (commonly called popped blood vessel in hand) is caused by an injury or some minor trauma (getting hit by someone or bumping into something).",11,7.0,top from debiased,debiased,8,,
629937,what does a popped blood vessel in hand feel like,msmarco_passage_63_315633016,"1 Dettlaff (Blood And Wine) Regardless of what anyone thinks about Eredin and his boss fight, he does feel like the proper villain to conclude the base game. Detlaff, on the other hand, feels like the proper boss to conclude the entire Witcher 3 experience, DLC and all.",71,,easy negative,debiased,9,0.12848272770643235,
646091,what does prenatal care include,msmarco_passage_30_7772264,"What is prenatal care? Prenatal care is when you get checkups from a doctor, nurse, or midwife throughout your pregnancy. It helps keep you and your future baby healthy.",1,1.0,top from biased,biased,1,,
646091,what does prenatal care include,msmarco_passage_27_626193579,Summary. Prenatal care is the health care you get while you are pregnant. It includes your checkups and prenatal testing. Prenatal care can help keep you and your baby healthy. It lets your health care provider spot health problems early. Early treatment can cure many problems and prevent others.,2,2.0,top from biased,biased,2,,
646091,what does prenatal care include,msmarco_passage_06_450899513,Definition (CCC) Actions performed to support the gestation period of the formation of an offspring/child (being with child) Definition (MEDLINEPLUS) Prenatal care is the health care you get while you are pregnant. It includes your checkups and prenatal testing. Prenatal care can help keep you and your baby healthy.,3,3.0,top from biased,biased,3,,
646091,what does prenatal care include,msmarco_passage_53_592569309,"Prenatal care is important for the health of both mother and baby. Common prenatal tests include ultrasound, amniocentesis, screening for group B strep and chronic villus sampling. Prenatal care also helps detect health conditions related to pregnancy, such as preeclampsia and gestational diabetes.",4,4.0,top from biased,biased,4,,
646091,what does prenatal care include,msmarco_passage_53_590996709,"Pregnancy: Prenatal Care and Tests. Prenatal care is important for the health of both mother and baby. Common prenatal tests include ultrasound, amniocentesis, screening for group B strep and chronic villus sampling. Prenatal care also helps detect health conditions related to pregnancy, such as preeclampsia and gestational diabetes.",9,5.0,top from debiased,debiased,5,,
646091,what does prenatal care include,msmarco_passage_06_765034498,"What is a prenatal visit? Prenatal care is the medical care you receive during pregnancy. Prenatal care visits start early on in your pregnancy and continue regularly until you deliver the baby. They typically include a physical exam, a weight check, and various tests.",8,6.0,top from debiased,debiased,6,,
646091,what does prenatal care include,msmarco_passage_36_207498071,What is Prenatal Care: Prenatal Care Definition. Prenatal care is the health care that both the woman and the baby receives before giving birth. This is more than just a few doctor’s visits and an ultrasound or two.,5,7.0,top from debiased,debiased,7,,
646091,what does prenatal care include,msmarco_passage_53_355459800,"Pregnancy and prenatal care go hand in hand. During the first trimester, prenatal care includes blood tests, a physical exam, conversations about lifestyle and more. Prenatal care is an important part of a healthy pregnancy. Whether you choose a family physician, obstetrician, midwife or group prenatal care, here's what to expect during the first few prenatal appointments.",10,8.0,top from debiased,debiased,8,,
646091,what does prenatal care include,msmarco_passage_24_51862111,"The profiles define adequate prenatal care as a score of 80% or greater on the Kotelchuck Index, or the sum of the Adequate and Adequate Plus categories. The Kotelchuck Index does not measure the quality of prenatal care.",75,,easy negative,debiased,9,0.28153152465820314,
647362,what does s p mean medical,msmarco_passage_58_297970877,"S/P is the short for'Status Post' in medical terms. More specifically it mean the following: It's adjective, Medtalk Clinical shorthand referring to a state that follows an intervention–eg, S/P CABG, S/P cholecystectomy S/P mastectomy, S/P orchiectomy, or condition–eg, S/P acute MI. Source:",1,1.0,top from biased,biased,1,,
647362,what does s p mean medical,msmarco_passage_04_149555778,"What does sp hysterectomy mean? S/P in medical terms stands for ""status post."". It refers to a surgery or other event that occurred in the past. So s/p hysterectomy means the patient previously had her uterus removed.",2,2.0,top from biased,biased,2,,
647362,what does s p mean medical,msmarco_passage_58_297967826,"The computerized medical record seems to have largely solved this thorny issue, while introducing others. s/p (""status post"") means that the client has had the procedure or event in the past. As in, ""s/p appendectomy"" means the person has had an appy; ""s/p overdose"" means the person took an overdose, etc.",3,3.0,top from biased,biased,3,,
647362,what does s p mean medical,msmarco_passage_04_190620328,What does the medical abbreviation V-P scan mean? A V-P scan is a ventilation/perfusion scan. Sometimes it's called a V/Q scan as well. It is a radiology study to check how well air is getting into the lungs (ventilation) and how well blood is getting to the lungs (perfusion).,4,8.0,top from biased,biased,4,,
647362,what does s p mean medical,msmarco_passage_11_727532523,"What does the ""S/P"" stand for? Has 2 years experience. I am trying to pre-plan for clinical tomorrow and in the history of present illness it says: ""57 year old male S/P distal pancreatectomy."". What does the ""S/P"" stand for?",5,4.0,top from debiased,debiased,5,,
647362,what does s p mean medical,msmarco_passage_11_725312372,"I know it stands for status post, but what does it actually mean? For example, deep vein thrombosis s/p inferior vena cava filter. Does it mean the patient developed DVT after having an IVC filter? Thanks.",12,5.0,top from debiased,debiased,6,,
647362,what does s p mean medical,msmarco_passage_01_500453624,"What does the medical abbreviation po bid prn mean? Po bid prn means that the patient is to take the medication
orally twice a day as needed. What does the medical abbreviation bid PRN mean? For medications, bid: Take twice a day PRN: as needed So this
would mean to take the medication twice a day, as needed.",11,6.0,top from debiased,debiased,7,,
647362,what does s p mean medical,msmarco_passage_01_500884606,"What does the medical abbreviation po bid prn mean? Po bid prn means that the patient is to take the medication
orally twice a day as needed. What does medical dose Po hs mean? PO means is a Latin abbreviation for ""by mouth"" and HS is a
Latin abbreviation for ""at night"" so that the medication by mouth
at night.",8,7.0,top from debiased,debiased,8,,
647362,what does s p mean medical,msmarco_passage_56_397390102,"Rydex Inverse S&P 500 Strategy Fund (RYURX): One of the more traditional bear funds, RYURX delivers a return opposite to what the S&P 500 does. So if the S&P 500 goes down 5%, it goes up 5%. It's up 6% over the past month, compared to an 8% loss for the S&P 500.",93,,easy negative,debiased,9,0.0015966912731528282,
661905,what foods should you stay away from if you have asthma,msmarco_passage_38_642898398,"In addition to asthma, if you have allergies to peanuts or garbanzo beans, it is advised for you to stay away from fenugreek. Fenugreek is related to these particular foods, and you may experience a similar allergic reaction while taking the herb. Diabetes or hypoglycemia.",1,1.0,top from biased,biased,1,,
661905,what foods should you stay away from if you have asthma,msmarco_passage_16_689871674,"Beans, cabbage, fried foods, carbonated drinks, onion and garlic are foods to avoid if you have asthma. World Asthma Day 2018: Asthmatic patients should avoid processed foods. 2. People who have asthma should avoid processed foods since they come with added preservatives and flavours.",2,3.0,top from biased,biased,2,,
661905,what foods should you stay away from if you have asthma,msmarco_passage_08_352299541,"Do not eat frozen foods such as ice cream as they cause the muscle in the airways to tighten. Cut back on salt. Excessive salt intake is shown to make asthma symptoms worse. Stay away from eating junk foods, sweets, sugar-loaded soft drinks and fried foods. Although asthmatics may not have food allergies, there may be certain foods that can trigger or make asthma symptoms worse.",3,2.0,top from biased,biased,3,,
661905,what foods should you stay away from if you have asthma,msmarco_passage_26_186871582,"If you struggle with chronic asthma, it’s advised that you should stay away from hot pepper in large quantities. With most types of foods, tolerances can still be built up – so if you’re a spicy food fan and an asthmatic, you shouldn’t have to worry too much.",4,4.0,top from biased,biased,4,,
