qid,query,docno,text,biased_rank,debiased_rank,source,from,selected_in_turn
364210,how to help a jammed finger,msmarco_passage_11_73533498,"Assessment. Epsom salts can help with a jammed finger. The first step in treating a jammed finger is to assess the damage. Obvious deformations, immediate bruising, or a being completely unable to move the finger could be signs of a serious fracture or dislocation. In cases like these, you should use a sling to immobilize the hand and go to the emergency room immediately.",4,3,position diff: 1,unbiased,4
364210,how to help a jammed finger,msmarco_passage_11_73532770,"Pain killers such as aspirin are used to ease the pain of a jammed finger. If there are signs of fracture or dislocation, a jammed finger should be treated at the emergency room. Wrapping gauze around a jammed finger can help keep the finger in place, allowing it to properly heal.",5,4,position diff: 1,unbiased,5
364210,how to help a jammed finger,msmarco_passage_43_286763885,"GIVE TIME AND PROPER CARE TO HELP JAMMED FINGER HEAL. You jab your finger into a wall, catch a ball wrong, fall on the finger, inadvertently run into someone - jammed fingers result from many causes. However you do it, the results are the same: a painful, swollen, stiff finger. It is probably a sprain, a stretching or partial tearing of the ligaments and capsule surrounding the joint.",6,6,position diff: 0,unbiased,6
364210,how to help a jammed finger,msmarco_passage_61_344485493,"Home Treatment for a Jammed Finger. If a jammed finger is not severe and there is no reason to suspect a fracture, it can be self-treated at home. Below are treatment measures that can help alleviate pain and swelling while the sprain heals. Temporarily immobilize the finger.",11,7,position diff: 4,unbiased,7
364210,how to help a jammed finger,msmarco_passage_09_484429649,"Home Remedies To Treat A Jammed Finger. It is possible to manage a jammed / injured finger at home, by following these home-care guidelines. Ice and elevation helps alleviate the pain and swelling significantly and also facilitate quick recovery. The following tips will help you manage a jammed finger well.",9,8,position diff: 1,unbiased,8
364210,how to help a jammed finger,msmarco_passage_25_596444118,"Since jammed fingers are not serious and may only take a few days or weeks to heal, you can use good pain killers such as aspirin from your local pharmacist to help rid you of the pain. Any good pharmacist will help you choose the best medication for your jammed finger. It is important to take the medication as directed.",7,9,position diff: -2,unbiased,9
395948,information about who howard gardner and what does he do,msmarco_passage_66_136128052,"Howard Gardner Biography and Theories. Kendra Cherry, MS, is an author, educational consultant, and speaker focused on helping students learn about psychology. James Lacy, MLS, is a fact checker and researcher. Howard Gardner is a developmental psychologist best-known for this theory of multiple intelligences.",1,1,position diff: 0,both,1
395948,information about who howard gardner and what does he do,msmarco_passage_66_136129737,"Brief Biography of Howard Gardner. Howard Gardner was born on July 11, 1943 in Scranton, Pennsylvania. He described himself as ""a studious child who gained much pleasure from playing the piano."". He completed his post-secondary education at Harvard, earning his undergraduate degree in 1965 and his Ph.D. in 1971. 3 ﻿.",2,2,position diff: 0,both,2
395948,information about who howard gardner and what does he do,msmarco_passage_52_407368767,"Attached here is a list of some of Howard Gardner's works, taken from his curriculum vitae. Works in which Howard Gardner is collaborator: - Mind, Work, and Life: A Festschrift on the Occasion of Howard Gardner's 70th Birthday, with responses by Howard Gardner (2014) Various authors. Edited by Kornhaber, M. & Winner, E.",3,3,position diff: 0,both,3
395948,information about who howard gardner and what does he do,msmarco_passage_00_335703110,"In 2006 Gardner published Multiple Intelligences: New Horizons, The Development and Education of the Mind, and Howard Gardner Under Fire. In Howard Gardner Under Fire, Gardner's work is examined critically; the book includes a lengthy autobiography and a complete biography. In the spring of 2007, Five Minds for the Future was published by Harvard Business School Press.",4,4,position diff: 0,both,4
395948,information about who howard gardner and what does he do,msmarco_passage_40_31220962,"Sources: Lane, Carla. (n.d.) ‘Gardner’s multiple intelligences’, the distance learning technology resource guide, https://www.tecweb.org/styles/gardner.html. Smith, Mark K. (2002, 2008) ‘ Howard Gardner and multiple intelligences ’, The Encyclopedia of Informal Education.",5,5,position diff: 0,both,5
395948,information about who howard gardner and what does he do,msmarco_passage_12_633563963,"Children are able to explore many cognitive concepts through their play and creative explorations. About. Howard Earl Gardner (born July 11, 1943) is an American developmental psychologist He is best known for his theory of multiple intelligences.",6,7,position diff: -1,biased,6
395948,information about who howard gardner and what does he do,msmarco_passage_09_593796930,In Gardner's early research he discussed seven intelligences. Gardner later introduced an eighth intelligence: the naturalist intelligence. Howard Gardner - http://www.pz.harvard.edu/PIs/HG.htm. Verbal - Linguistic. Logical - Mathematical.,7,6,position diff: 1,unbiased,7
395948,information about who howard gardner and what does he do,msmarco_passage_64_172367505,"Howard Gardner's Inspiration. Howard Gardner is a professor of cognition and education at the Harvard Graduate School of Education. He uses the late English writer Virginia Woolf as an example of a person with a high level of intrapersonal intelligence. He has noted how in her essay, ""A Sketch of the Past,"" Woolf discusses the ""cotton wool of existence,"" or the various mundane events of life.",8,8,position diff: 0,both,8
395948,information about who howard gardner and what does he do,msmarco_passage_62_203359783,"Using Multiple Intelligences in Testing & Assessment. Information on using Howard Gardner's theory of multiple intelligences (MI) in student assessments is found here. New teachers, who are just getting acquainted with MI will find this resource particularly valuable. Running Records.",9,11,position diff: -2,biased,9
421946,is pulse ox screening for children law,msmarco_passage_38_643300933,References & Sources. Visit Children's National Health System for more information on pulse ox congenital heart disease screening. Visit the Centers for Disease Control and Prevention website for a fact sheet on CCHD. Visit the Centers for Disease Control and Prevention website for more resources on CCHD.,1,2,position diff: -1,biased,1
421946,is pulse ox screening for children law,msmarco_passage_38_643493231,"To improve systems for follow-up, reporting, and connection to services for infants identified by newborn screening. Newborn screening in Minnesota consists of three tests: blood spot screening, hearing screening, and pulse oximetry. Pulse oximetry, or pulse ox, is a painless, non-invasive test that measures how much oxygen is in the blood.",2,1,position diff: 1,unbiased,2
421946,is pulse ox screening for children law,msmarco_passage_48_124892275,"Babies are dying every day from undetected heart defects, but we have the knowledge and power to prevent CCHD from taking their lives so soon. Knowing that New York State has mandated a law requiring the 'pulse ox' test to be added to newborn screening means saving lives and spreading awareness. It means hope.",3,3,position diff: 0,both,3
421946,is pulse ox screening for children law,msmarco_passage_04_389002915,"There are three parts to newborn screening: the blood test (or heel stick. When the baby's heel is pricked to collect a sample of blood for newborn screening. ); the hearing screen; and pulse oximetry. Pulse oximetry, or pulse ox, is a painless, non-invasive test that measures how much oxygen is in the blood.",4,4,position diff: 0,both,4
421946,is pulse ox screening for children law,msmarco_passage_38_643532666,"Pulse ox screening should be performed before discharge from the nursery, after the infant turns 24 hours of age. If the infant was born prematurely, screening should be performed when medically appropriate. If early discharge is planned, screening should occur as late as possible. Where.",5,6,position diff: -1,biased,5
421946,is pulse ox screening for children law,msmarco_passage_07_822264197,Babies are screened for critical CHDs with a simple test called pulse oximetry (also called pulse ox). This test checks the amount of oxygen in your baby’s blood. Low levels of oxygen can be a sign of a heart defect. Pulse oximetry uses a pulse oximeter machine with sensors that are placed on your baby’s skin.,6,5,position diff: 1,unbiased,6
421946,is pulse ox screening for children law,msmarco_passage_12_735897565,"Pulse oximetry, or pulse ox, is a painless, non-invasive test that measures how much oxygen is in the blood. Infants with heart problems may have low blood oxygen levels, and therefore, the pulse ox test can help identify babies that may have Critical Congenital Heart Disease (CCHD).",7,8,position diff: -1,biased,7
421946,is pulse ox screening for children law,msmarco_passage_38_643515607,"The pulse ox test only takes a couple of minutes and is performed after the baby is 24 hours old and before he or she leaves the newborn nursery. to measure the amount of oxygen in the baby’s blood, and a hearing screening. These tests should be performed when babies are 24 to 48 hours old.",9,7,position diff: 2,unbiased,8
421946,is pulse ox screening for children law,msmarco_passage_27_507274905,"What to expect when you're expecting a newborn screening panel. Pulse Ox- Pulse Ox activity tracker and a redesign of its companion app, Health Mate. Withings launches its connected health devices in India.",8,14,position diff: -6,biased,9
493490,schizandra berry benefits,msmarco_passage_55_560686346,"One of the many schizandra berry benefits is to reduce stress and feelings of fatigue. A study suggests the fruit does so by reducing cortisol levels [1]. These adaptogenic benefits make schisandra effective for many types of environmental stressors. Beyond the stress relieving schisandra benefits, there are anti-inflammatory effects [2], memory and cognition enhancement [3], and can reduce symptoms of anxiety [4].",1,1,position diff: 0,both,1
493490,schizandra berry benefits,msmarco_passage_02_234807989,"Schizandra Berry Benefits and Uses. While Schizandra chinensis has not undergone extensive human trials, it has shown extremely promising results in animal studies, and its beneficial compounds are well-known. The chief components of the berries are lignans, which make up about 2% of the fruit by weight. The berries also contain triterpenoids, organic acids such as citric and malic acid, melatonin, and vitamins C and E, among other compounds.",2,2,position diff: 0,both,2
493490,schizandra berry benefits,msmarco_passage_09_749452951,Schizandra Berry Benefits for Sexual Libido. One of the most famous side-effects of drinking schizandra berry tea on a regular basis is its positive effects on the sexual glands and organs. It is one of the top herbal aphrodisiacs for both men and women alike.,3,3,position diff: 0,both,3
493490,schizandra berry benefits,msmarco_passage_06_803493824,"By Herbs List | Published: 06/13/2011. Schizandra Benefits Schizandra (sometimes spelled Schisandra) berries are a powerful adaptogen. This means that they will help you adapt to your environment allowing you to better handle stress, whether mental or physical. An adaptogen is used as an overall wellness tonic.",4,4,position diff: 0,both,4
493490,schizandra berry benefits,msmarco_passage_06_803466276,"It is especially popular with athletes as it boosts nitric oxide levels in the body. It fights fatigue as well, making it even more beneficial. Schizandra increases energy at the cellular level. The Health Sciences Institute states that schizandra berry can raise the body’s enzyme, glutathione.",5,5,position diff: 0,both,5
493490,schizandra berry benefits,msmarco_passage_27_65381657,Skin and Sexual Benefits. A number of cosmetic features have likewise been linked to Schizandra berries. Many Asian women use these berries to improve skin and cosmetic textures; it is considered to be the best fruit for cosmetic in traditional Chinese medicine.,6,7,position diff: -1,biased,6
493490,schizandra berry benefits,msmarco_passage_39_306370285,"All rolled into one marvelous little berry! Since the old ages, Chinese medical practitioners have recognized the diverse health benefits of Schizandra berries that put it on par with ginseng when it comes to offering vitality and numerous anti-aging benefits.",9,6,position diff: 3,unbiased,7
493490,schizandra berry benefits,msmarco_passage_09_749667729,"Schizandra Benefits. Schizandra has been used to increase the body’s resistance to stress, increase stamina, stimulate the immune system, and decrease fatigue. Active ingredients including lignans, vitamins and phytonutrients in Schisandra chinensis provide a normalizing effect on the body.",7,8,position diff: -1,biased,8
493490,schizandra berry benefits,msmarco_passage_27_65382060,"Chris Kilham on Schizandra Benefits. Another great video with Chris Kilham where he explains the many schisandra benefits. Schisandra is called wu wei zu in Chinese which literally means ‘five flavor berry’. That’s because this unique berry contains all of the five main flavors, salty, sweet, sour, bitter and pungent.",8,23,position diff: -15,biased,9
505390,supartz injections what does it made of,msmarco_passage_38_122727514,"What is Supartz? Supartz is one of many types of injections that can be injected into the knee joint with the hope of relieving pain and discomfort. You may know of this type of injection as a ‘gel injection’, ‘gel shot’, ‘ hyaluronic acid ,’ or one of the other brand names such as ‘Euflexxa.’. It’s made up of a fluid called Sodium Hyaluronate, which is similar to the substance called hyaluronan, or hyaluronate, that your body produces naturally.",1,1,position diff: 0,both,1
505390,supartz injections what does it made of,msmarco_passage_66_598889,"Updated on February 14, 2021. Supartz injection is a therapy that is used to treat symptoms of knee osteoarthritis. 1 ﻿﻿ The Supartz solution is injected directly into the knee joint to restore the cushioning and lubricating properties of the synovial fluid (joint fluid). Supartz, a solution of sodium hyaluronate, is one of the hyaluronates used in viscosupplementation, which is another name for these injections.",2,2,position diff: 0,both,2
505390,supartz injections what does it made of,msmarco_passage_66_121762269,"David Ozeri, MD. Updated on February 14, 2021. Supartz injection is a therapy that is used to treat symptoms of knee osteoarthritis. 1 ﻿﻿ The Supartz solution is injected directly into the knee joint to restore the cushioning and lubricating properties of the synovial fluid (joint fluid). Supartz, a solution of sodium hyaluronate, is one of the hyaluronates used in viscosupplementation, which is another name for these injections.",3,3,position diff: 0,both,3
505390,supartz injections what does it made of,msmarco_passage_38_122732738,"The science behind Supartz. Sodium hyaluronate, the fluid used in Supartz injections, is present naturally in healthy joints as a shock absorber and lubricant. When your joints don’t produce enough hyaluronate, it can cause stiffness and pain. Supartz injections put the fluid back into your knee joint, so the parts of the joint should slide past each other more easily.",4,4,position diff: 0,both,4
505390,supartz injections what does it made of,msmarco_passage_44_362405718,"Supartz (injection) Generic Name: sodium hyaluronate (injection) (SO dee um HYE al yoo RON ate) Brand Name: Durolane, Euflexxa, Gel-One, Gelsyn-3, Hyalgan, Supartz. Medically reviewed by Drugs.com on March 17, 2021. Written by Cerner Multum.",5,6,position diff: -1,biased,5
505390,supartz injections what does it made of,msmarco_passage_08_670354349,"Supartz has recently developed a 3-injection regimen that is now available. This is also very effective in relieving pain in knee, but cannot be expected to last as long as the 5-injection regimen. Supartz Injection Technique For The Knee Joint. Supartz (Sodium Hyaluronate) is injected into the knee joint as a series of five injections.",7,5,position diff: 2,unbiased,6
505390,supartz injections what does it made of,msmarco_passage_45_608311322,Supartz FX (Sodium Hyaluronate (Injection)) Sodium hyaluronate is similar to the fluid that surrounds the joints in your body. This fluid acts as a lubricant and shock absorber for the joints.,6,8,position diff: -2,biased,7
505390,supartz injections what does it made of,msmarco_passage_66_593005,"In 2015, Bioventus, the maker of Supartz, announced the launch of Supartz Fx, which contains 10 milligrams (mg) sodium hyaluronate dissolved in 1.0% physiological saline. Supartz Fx has an expanded safety label compared to the original Supartz, allowing for repeat injection cycles. 3 ﻿﻿﻿.",8,9,position diff: -1,biased,8
505390,supartz injections what does it made of,msmarco_passage_08_670355264,"Supartz (Sodium Hyaluronate) Supartz- . is a solution of hyaluronate, a natural substance that acts like ""oil"" to cushion
and lubricate your knee joint. Supartz is injected directly into the knee. Just a single course of treatment
(five injections given weekly) can provide long-lasting pain relief. SUPARTZ has been in use since 1987 and approximately 143 million injections given.",9,7,position diff: 2,unbiased,9
508292,symptoms of neuroma pain,msmarco_passage_38_118466941,Symptoms. The symptoms of a neuroma include the following: Pain in the forefoot and between the toes. Tingling and numbness in the ball of the foot. Swelling between the toes. Pain in the ball of the foot when weight is placed on it.,1,1,position diff: 0,both,1
508292,symptoms of neuroma pain,msmarco_passage_22_668222685,"A neuroma is sometimes described as a tumor, but is typically not a cancer. The symptoms of a neuroma being with pain or numbness. Additional symptoms include burning and tingling in the toes, feeling like there is a thickening or a lump in the ball of the foot and many of these symptoms are elicited when walking or wearing tight shoes.",2,2,position diff: 0,both,2
508292,symptoms of neuroma pain,msmarco_passage_61_356638212,"Morton’s neuroma symptoms. Symptoms typically include foot pain, often with pins and needles. Pain is located on one side of your middle toe and the adjacent side of the next toe. Weight-bearing, especially pushing up on your forefoot will make symptoms worse.",3,3,position diff: 0,both,3
508292,symptoms of neuroma pain,msmarco_passage_14_475507120,"Symptoms. Pain is the predominant symptom of Morton’s neuroma. The pain is felt between the toes or on the ball of the foot, especially while walking. Stopping activity and resting will typically provide relief from the pain. Many find that taking off their shoes and massaging the painful area can be helpful.",4,4,position diff: 0,both,4
508292,symptoms of neuroma pain,msmarco_passage_04_27012834,"Neuromas. A neuroma is a painful swelling of a nerve, usually in the ball or heel of the foot. Symptoms include sporadic pain; burning, tingling or numbness of one or more toes; and a popping sensation when walking. Pain is often soothed by taking weight off the foot, removing your shoe, and massaging the area.",5,5,position diff: 0,both,5
508292,symptoms of neuroma pain,msmarco_passage_51_808126959,"Neuroma Signs & Symptoms. Symptoms of a neuroma vary based on where in the body the neuroma is located and whether or not it is affecting other nerves, tissue or organs. General symptoms may include pain, tingling, numbness, and a burning sensation.",6,6,position diff: 0,both,6
508292,symptoms of neuroma pain,msmarco_passage_28_259453488,"Symptoms of Morton’s neuroma include pain between your toes and feeling like you’re stepping on a pebble. Initial treatment includes medication, injections and custom orthotics. If the pain is severe, you may need Morton’s neuroma surgery. Appointments 216.444.2606. Appointments & Locations.",7,11,position diff: -4,biased,7
508292,symptoms of neuroma pain,msmarco_passage_66_117898684,"Abnormal Pain Type: Allodynia. Specific symptoms depend on the region of the body where the neuroma forms. In Morton's neuroma, which is most often between the third and fourth toes, symptoms include: 1 ﻿. Burning pain in the ball of the foot that may radiate into the toes.",9,7,position diff: 2,unbiased,8
508292,symptoms of neuroma pain,msmarco_passage_12_83120258,"Neurological symptoms are also common with a neuroma and including burning, tingling, numbness and pain in the region of the forefoot. An interdigital neuroma occurs most commonly in the third web space (Morton’s Neuroma) (72% of cases) followed by the second (30% of cases) and the fourth (5% of cases). (2)",8,13,position diff: -5,biased,9
540006,was friedrich nietzsche an atheist,msmarco_passage_58_39424363,"Answered December 21, 2014. Originally Answered: How atheist was Friedrich Nietzsche? ""For example, I do not have any experience with genuine religious difficulties. I have never paid attention to how 'sinful' I might be. [...] — 'God', 'immortality of the soul', 'redemption', 'beyond', are simply ideas that I have not paid any attention to or devoted any time to, even as a child, — perhaps I was never childish enough for them?",1,1,position diff: 0,both,1
540006,was friedrich nietzsche an atheist,msmarco_passage_58_39423436,"Answered November 5, 2014 · Author has 1.6K answers and 1.8M answer views. Originally Answered: How atheist was Friedrich Nietzsche? Friedrich Nietzsche called himself anti-Christian, not atheist. In many of his writings he compares Jesus to Dionysus, and proclaims himself to be a follower of Dionysus.",2,2,position diff: 0,both,2
540006,was friedrich nietzsche an atheist,msmarco_passage_25_833258014,"The influential German philosopher Friedrich Nietzsche (1844-1990) had his views on religion and Christianity, and was arguably the most abrupt and abrasive atheistic thinkers of his time.",3,3,position diff: 0,both,3
540006,was friedrich nietzsche an atheist,msmarco_passage_40_158087024,"Existentialists have been both atheists (e.g., Friedrich Nietzsche and Jean-Paul Sartre) and Christians (e.g., Kierkegaard, the Protestant Rudolf Bultmann, and the Roman Catholic Gabriel Marcel ). It would be difficult to identify any doctrines that are common to all these thinkers.",4,5,position diff: -1,biased,4
540006,was friedrich nietzsche an atheist,msmarco_passage_24_649418758,"Nietzsche was originally quite religious. His father was a Lutheran minister and Friedrich studied theology at the University of Bonn. 1 During his studies, however, he learned of the philosophy of Arthur Schopenhauer and became a staunch atheist. 2.",5,4,position diff: 1,unbiased,5
540006,was friedrich nietzsche an atheist,msmarco_passage_29_364916433,"Kierkegaard, along with the atheist philosopher Friedrich Nietzsche, would be the main inspiration for many twentieth century philosophers like Edmund Husserl, Martin Heidegger, Karl Jaspers, Jean-Paul Sartre and Simone de Beauvoir. pinterest-pin-it.",6,6,position diff: 0,both,6
540006,was friedrich nietzsche an atheist,msmarco_passage_58_39423896,"Philosophy of Atheism. Friedrich Nietzsche (philosopher, author) Philosophers. Philosophy of Religion. Atheism. How atheist was Friedrich Nietzsche? Ad by The Motley Fool. The tech soon to be in 50% of TVs. Why this tiny company might take down Netflix (and explode in value).",7,20,position diff: -13,biased,7
540006,was friedrich nietzsche an atheist,msmarco_passage_39_497540129,"Friedrich Nietzsche. German philosopher Friedrich Nietzsche is known for his writings on good and evil, the end of religion in modern society and the concept of a ""super-man."".",10,7,position diff: 3,unbiased,8
540006,was friedrich nietzsche an atheist,msmarco_passage_19_32398793,"Karl Marx and Sigmund Freud. Both Marx and Freud were Jewish atheists who developed distinctive critiques of religion. In his 1965 book Freud and Philosophy: An Essay on Interpretation, the French philosopher Paul Ricœur compared the two (together with Friedrich Nietzsche ), characterizing their common method as the "" hermeneutics of suspicion "".",8,9,position diff: -1,biased,9
596569,what classes do i need to take to go to vet school,msmarco_passage_12_270377801,What classes should i take in high school to become a vet? | Yahoo Answers. Keyla. Keyla. asked in Education & Reference Higher Education (University +) · 9 years ago.,1,2,position diff: -1,biased,1
596569,what classes do i need to take to go to vet school,msmarco_passage_57_570209973,"To become a veterinarian, you will need to go through four years of veterinary school after college. Admission is competitive for the few vet schools in the united states. Students are required to take a lot of science classes, including anatomy, animal science, biology, chemistry, microbiology, physiology and zoology, plus social sciences and humanities.",2,1,position diff: 1,unbiased,2
596569,what classes do i need to take to go to vet school,msmarco_passage_66_170950934,"To become a vet, you need to go to university and take a veterinary science or medicine degree. The course normally takes 5 years. To be considered for a place at vet school, you will need to have a strong science background. It’s important that you enjoy and are good at subjects such as biology, chemistry and physics.",3,3,position diff: 0,both,3
596569,what classes do i need to take to go to vet school,msmarco_passage_32_199421070,"To become a vet in North America, you must go to college for at least 2 or 3 years, and take several required classes, including many science classes. You then apply to veterinary school. If you are accepted, you are in veterinary school for 4 years, and then graduate with the degree Doctor of Veterinary Medicine.",4,4,position diff: 0,both,4
596569,what classes do i need to take to go to vet school,msmarco_passage_03_507786841,Now I’m just going to list a few classes that I have found (or heard of) that help prepare you for veterinary school. This is not a complete list of classes that is required for vet school. Please contact your perspective schools to find out what classes are required for you to be accepted to veterinary school. Biology.,5,5,position diff: 0,both,5
596569,what classes do i need to take to go to vet school,msmarco_passage_65_648878943,"Earn a bachelor’s degree. Veterinary school is a graduate program; to become eligible to apply to veterinary school students need to earn a bachelor's degree and take specific pre-requisites (classes that vet schools require). At UT, students can earn a bachelor's degree and take pre-requisite courses. They will need to choose a major, as pre-vet is not a major or a program at UT.",6,7,position diff: -1,biased,6
596569,what classes do i need to take to go to vet school,msmarco_passage_25_467716834,"Some of the vet tech schools will require new students to take placement tests as well as test scores for SAT/ACT. It is highly advised to contact the vet tech school you want to attend to and find out exactly what you need. We created a list of vet tech books, you might find it useful.",9,6,position diff: 3,unbiased,7
596569,what classes do i need to take to go to vet school,msmarco_passage_27_220457995,So that is a total of 8 years of college. Not only that but vet are required to do continuing education classes every year. ...Show more. CoffeeCupDobie. Lv 5. 1 decade ago. My son is taking courses through his high school to become a VET. they have courses he is taking now his Junior and Senior year in high school.,7,9,position diff: -2,biased,8
596569,what classes do i need to take to go to vet school,msmarco_passage_10_533596525,You don't need any formal training to be a Vet Assistant. If you want to do this I would go straight to the Vet Tech program. It's an extra year but it's worth it (and you can do it part time while working at a clinic). Just don't go for the Vet Assistant first.,8,11,position diff: -3,biased,9
629937,what does a popped blood vessel in hand feel like,msmarco_passage_35_98010201,"Doctors do this because not all drugs will agree with your body. READ Popped blood vessel in hand: Causes, Symptoms, Treatments. Some of the symptoms of side effects from drugs include fever, headaches, numbness, a burning and itchy sensation that makes your skin feels raw but no rashes.",1,1,position diff: 0,both,1
629937,what does a popped blood vessel in hand feel like,msmarco_passage_09_791178425,Popped Blood Vessel In Hand Symptoms. The condition will show under the layer of transparent skin and is characterized by: Bright red or dark appearance in the outermost layer of the skin. A feeling of minor pain upon contact.,2,2,position diff: 0,both,2
629937,what does a popped blood vessel in hand feel like,msmarco_passage_35_97813720,"Symptoms of popped blood vessel in hand: Bursting of blood vessels or popped blood vessel in hand and subsequent bleeding under the skin of your hands has the following symptoms: Swelling in the affected area of the skin. In some cases, an associated fracture in the bone may take place. Some pain (minor) may be felt upon touching the affected area.",3,3,position diff: 0,both,3
629937,what does a popped blood vessel in hand feel like,msmarco_passage_53_692894208,"That can cause a bright red splotch, or make the entire white of your eye turn blood red. But popped blood vessels aren’t actually serious—they just look bad, Dr. Holzman says. Other symptoms: Popped blood vessels don’t hurt, but your eye might feel slightly heavy from the extra blood.",4,5,position diff: -1,biased,4
629937,what does a popped blood vessel in hand feel like,msmarco_passage_09_484020537,Popped Blood Vessel in Hands. Popped blood vessel in a person’s hands happen when a clot forms in the blood vessel. This clot of blood causes an obstruction and hinders the blood’s rapid flow thereby causing arteries to bulge.,5,4,position diff: 1,unbiased,5
629937,what does a popped blood vessel in hand feel like,msmarco_passage_60_676301869,"Treatment for Popped Blood Vessel in Hands. Generally, a popped blood vessel is insignificant and undamaging. Mostly it takes a week or two to heal on its own. However, if symptoms like pain, swelling, bleeding and bruise persists, a person can use any of the following home remedies:",6,10,position diff: -4,biased,6
629937,what does a popped blood vessel in hand feel like,msmarco_passage_35_97819308,"The appearance of patch or dot under the skin due to popped blood vessel in hand is because of the blood clots formed there. The clot also hampers the fast flow of blood through the vessels causing bulging to the blood vessels of the area. This, in turn, results in increased pressure causing further rupture of blood vessels and more blood oozing out under the skin (increase in pressure inside the arteries weakens their walls).",7,6,position diff: 1,unbiased,7
629937,what does a popped blood vessel in hand feel like,msmarco_passage_35_97810880,Common causes behind Popped blood vessel in hand: Popped blood vessel in hand. Image source: nih.gov. You can develop popped blood vessel in hand because of various reasons such as: Hand bumping suddenly into some hard objects. Trying to support something heavy with your hands. Trying to break some hard object with your hands.,8,7,position diff: 1,unbiased,8
629937,what does a popped blood vessel in hand feel like,msmarco_passage_62_95660767,Causes Of Popped Blood Vessel In Hand. Ruptured blood vessel in hand can be caused due to: Sudden bumping of hand into something hard object. Using the hand to break or support something heavy or hard object. High blood pressure. Malnutrition. Bruise due to aging skin.,11,8,position diff: 3,unbiased,9
646091,what does prenatal care include,msmarco_passage_30_7772264,"What is prenatal care? Prenatal care is when you get checkups from a doctor, nurse, or midwife throughout your pregnancy. It helps keep you and your future baby healthy.",1,1,position diff: 0,both,1
646091,what does prenatal care include,msmarco_passage_27_626193579,Summary. Prenatal care is the health care you get while you are pregnant. It includes your checkups and prenatal testing. Prenatal care can help keep you and your baby healthy. It lets your health care provider spot health problems early. Early treatment can cure many problems and prevent others.,2,2,position diff: 0,both,2
646091,what does prenatal care include,msmarco_passage_06_450899513,Definition (CCC) Actions performed to support the gestation period of the formation of an offspring/child (being with child) Definition (MEDLINEPLUS) Prenatal care is the health care you get while you are pregnant. It includes your checkups and prenatal testing. Prenatal care can help keep you and your baby healthy.,3,3,position diff: 0,both,3
646091,what does prenatal care include,msmarco_passage_53_592569309,"Prenatal care is important for the health of both mother and baby. Common prenatal tests include ultrasound, amniocentesis, screening for group B strep and chronic villus sampling. Prenatal care also helps detect health conditions related to pregnancy, such as preeclampsia and gestational diabetes.",4,4,position diff: 0,both,4
646091,what does prenatal care include,msmarco_passage_53_355454477,"During the second trimester, prenatal care includes routine lab tests and measurements of your baby's growth. You might consider prenatal testing, too. By Mayo Clinic Staff. The goal of prenatal care is to ensure that you and your baby remain healthy during your entire pregnancy. Ideally, prenatal care starts as soon as you think you're pregnant.",5,6,position diff: -1,biased,5
646091,what does prenatal care include,msmarco_passage_36_207498071,What is Prenatal Care: Prenatal Care Definition. Prenatal care is the health care that both the woman and the baby receives before giving birth. This is more than just a few doctor’s visits and an ultrasound or two.,6,5,position diff: 1,unbiased,6
646091,what does prenatal care include,msmarco_passage_28_313169904,"What is Prenatal Care? Prenatal care is the necessary medical care that a woman receives during pregnancy. There are many benefits to obtaining proper prenatal care. This care can ensure the healthiest pregnancy possible for the woman, as well as the fetus and future infant.",7,7,position diff: 0,both,7
646091,what does prenatal care include,msmarco_passage_06_765034498,"What is a prenatal visit? Prenatal care is the medical care you receive during pregnancy. Prenatal care visits start early on in your pregnancy and continue regularly until you deliver the baby. They typically include a physical exam, a weight check, and various tests.",8,8,position diff: 0,both,8
646091,what does prenatal care include,msmarco_passage_53_355459800,"Pregnancy and prenatal care go hand in hand. During the first trimester, prenatal care includes blood tests, a physical exam, conversations about lifestyle and more. Prenatal care is an important part of a healthy pregnancy. Whether you choose a family physician, obstetrician, midwife or group prenatal care, here's what to expect during the first few prenatal appointments.",9,10,position diff: -1,biased,9
647362,what does s p mean medical,msmarco_passage_58_297970877,"S/P is the short for'Status Post' in medical terms. More specifically it mean the following: It's adjective, Medtalk Clinical shorthand referring to a state that follows an intervention–eg, S/P CABG, S/P cholecystectomy S/P mastectomy, S/P orchiectomy, or condition–eg, S/P acute MI. Source:",1,1,position diff: 0,both,1
647362,what does s p mean medical,msmarco_passage_04_149555778,"What does sp hysterectomy mean? S/P in medical terms stands for ""status post."". It refers to a surgery or other event that occurred in the past. So s/p hysterectomy means the patient previously had her uterus removed.",2,2,position diff: 0,both,2
647362,what does s p mean medical,msmarco_passage_58_297967826,"The computerized medical record seems to have largely solved this thorny issue, while introducing others. s/p (""status post"") means that the client has had the procedure or event in the past. As in, ""s/p appendectomy"" means the person has had an appy; ""s/p overdose"" means the person took an overdose, etc.",3,3,position diff: 0,both,3
647362,what does s p mean medical,msmarco_passage_04_190620328,What does the medical abbreviation V-P scan mean? A V-P scan is a ventilation/perfusion scan. Sometimes it's called a V/Q scan as well. It is a radiology study to check how well air is getting into the lungs (ventilation) and how well blood is getting to the lungs (perfusion).,4,4,position diff: 0,both,4
